ID,name,sex,beard,power
Fr,Frodo,1,1,3
Sam,Samweiß,1,1,2
Ga,Gandalf,1,2,4
Ar,Aragon,1,2,3
Gi,Gimli,1,2,2
Le,Legolas,1,1,3
Go,Gollum,NA,1,1
Ri,Ring,NA,NA,4
Sa,Sauron,1,2,4
